,Numero,Direccion,EntidadFederativaId,MunicipioId,Nombre,Apoyo 2
18472,PL/4796/EXP/ES/2015,Carretera Navolato Altata No 1288 Poniente,Sinaloa,Navolato,GASOLINERA Y SERVICIOS AGUILAR SA DE CV,4796
18475,PL/4797/EXP/ES/2015,Juárez Y Constitución No. 109,Coahuila de Zaragoza,Monclova,CENTRAL DE ENERGETICOS SA DE CV,4797
18478,PL/4798/EXP/ES/2015,Francisco Villa S/N,Chihuahua,San Francisco de Conchos,COMBUSTIBLES LOS SILOS SA DE CV,4798
18481,PL/4799/EXP/ES/2015,Carretera Internacional No. 1802,Oaxaca,Santa Lucía del Camino,"ESTACION DE SERVICIO BAUTISTA, S.A. DE C.V.",4799
18484,PL/480/EXP/ES/2015,A. Campo del Norte No. 10145,Chihuahua,Chihuahua,"PETROMAX, S.A. DE C.V.",480
18486,PL/4800/EXP/ES/2015,Boulevard El Minero No. 552,Zacatecas,Sombrerete,"MULTISERVICIOS MURILLO, S.A. DE C.V.",4800
18489,PL/4801/EXP/ES/2015,Boulevard Barra Vieja Lt. 1 Mz. 34 Zona 2,Guerrero,Acapulco de Juárez,SERVICIO TRES VIDAS S.A DE C.V.,4801
18491,PL/4802/EXP/ES/2015,Carretera a El Dorado Sur 12501,Sinaloa,Culiacán,"AGRICOLA Y COMERCIAL SAN KISSTOLO, SA DE CV",4802
18494,PL/4803/EXP/ES/2015,Progreso No. 111,Nuevo León,Montemorelos,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",4803
18496,PL/4804/EXP/ES/2015,Avenida Faja de Oro No. 504 Esquina Emilio Carranza,Guanajuato,Salamanca,Servicio Xidoo S.A. de C.V.,4804
18498,PL/4805/EXP/ES/2015,Pescadores Esquina Carretera Oaxaca No. 02 Poniente,Oaxaca,San Pedro Mixtepec,"SERVICIO CIMOGUA, S.A. DE C.V.",4805
18501,PL/4806/EXP/ES/2015,Carretera Estatal a San Isidro Mazatepec Km 5+200 Santa Cruz de Las Flores,Jalisco,Tlajomulco de Zúñiga,grupo suluma sa de cv,4806
18504,PL/4807/EXP/ES/2015,Circuito Juan Pablo Ii No. 1802-A,Puebla,Puebla,SERVICIO PLAZA SAN MANUEL SA DE CV,4807
18506,PL/4808/EXP/ES/2015,Carretera Federal México-Oaxaca Km 82.7,Morelos,Ayala,"SERVICIO TLAYECAC, S.A.",4808
18509,PL/4809/EXP/ES/2015,Calle José Guadalupe Zuno No. 01,Jalisco,Guadalajara,DEMETRIO CUEVAS SANCHEZ,4809
18511,PL/481/EXP/ES/2015,Autopista Monterrey - Cadereyta Km 10 No. 1310,Nuevo León,Guadalupe,"PETROMAX, S.A. DE C.V.",481
18513,PL/4810/EXP/ES/2015,Francisco Trujillo Gurria,Tabasco,Teapa,"COMBUSTIBLES Y DERIVADOS JM, S.A. DE C.V.",4810
18516,PL/4811/EXP/ES/2015,Emiliano Zapata No. 10,Sinaloa,Navolato,GASOLINERA Y SERVICIOS AGUILAR SA DE CV,4811
18519,PL/4812/EXP/ES/2015,Avenida Francisco Villa No. 5701,Chihuahua,Chihuahua,GAS FRANCISCO VILLA SA DE CV,4812
18522,PL/4813/EXP/ES/2015,Carretera Federal Costera del Pacifico Tramo Puertoescondido-Pochutla Km 201 No. 2,Oaxaca,Santa María Tonameca,"SERVICIO CIMOGUA, S.A. DE C.V.",4813
18525,PL/4814/EXP/ES/2015,Fedor Dostoyevsky No. 1712,Chihuahua,Chihuahua,SERVICIO AGUIMEX SA DE CV,4814
18527,PL/4815/EXP/ES/2015,Vialidad Norte-Sur No. 101,Chihuahua,Camargo,KEVIN RAUDEL DOMINGUEZ MONCADA,4815
18530,PL/4816/EXP/ES/2015,Avenida Presa Laurel No. 194,Jalisco,Guadalajara,SERVICIO LAUREL S.A. DE C.V.,4816
18532,PL/4817/EXP/ES/2015,Libramiento Carretera Sur Km 8.650,Guanajuato,Salamanca,EDGARDO ESQUEDA RUIZ,4817
18534,PL/4818/EXP/ES/2015,Boulevard Venustiano Carranza No. 4005,Coahuila de Zaragoza,Saltillo,SUPER COMERCIAL AZTECA S. DE R.L. DE C.V.,4818
18537,PL/4819/EXP/ES/2015,Calle Gigantes No. 3300,Jalisco,Guadalajara,GASOLINERA GIGANTES SA DE CV,4819
18540,PL/482/EXP/ES/2015,Carretera Nacional Km 263 S/N,Nuevo León,Monterrey,"PETROMAX, S.A. DE C.V.",482
18542,PL/4820/EXP/ES/2015,Carretera Navolato Bachimeto No. 3365 Poniente,Sinaloa,Navolato,GASOLINERA Y SERVICIOS AGUILAR SA DE CV,4820
18545,PL/4821/EXP/ES/2015,Carretera Tepic San Blas 332 Kilometro 1,Nayarit,Tepic,GASOLINERA EL RODEO SA DE CV,4821
18548,PL/4822/EXP/ES/2015,Boulevard Heroes de Chapultepec No. 1702,Zacatecas,Zacatecas,GASISLO 2000 SA DE CV,4822
18552,PL/4823/EXP/ES/2015,Carretera Cost Tramo Pach S Cruz S/N,Oaxaca,Santa María Huatulco,DESARROLLO HUATULCO SC,4823
18555,PL/4824/EXP/ES/2015,Avenida Benito Juárez No. 800,Baja California,Tecate,JESUS FLORES SALAZAR,4824
18556,PL/4825/EXP/ES/2015,Carretera Valles Rioverde Y Colombia,San Luis Potosí,Ciudad Valles,SERVICIO D OLIVA S A DE C V,4825
18559,PL/4826/EXP/ES/2015,Avenida Tintoreto Eje 6 Sur No. 20,Ciudad de México,Benito Juárez,Promo Gas SA de CV,4826
18562,PL/4827/EXP/ES/2015,Carretera Xaltocan-Ojo de Agua No. 316,México,Nextlalpan,YADIRA GUADALUPE HERNANDEZ SIERRA,4827
18565,PL/4828/EXP/ES/2015,Avenida Romulo Garza No. 505,Nuevo León,San Nicolás de los Garza,SUPER COMERCIAL AZTECA S. DE R.L. DE C.V.,4828
18567,PL/4829/EXP/ES/2015,Calzada Anahuac No. 398,Baja California,Mexicali,COMBUSTIBLES VILLAS S.A DE C.V.,4829
18569,PL/483/EXP/ES/2015,Décima Esquina Con Boulevard Las Fuentes No. 115,Tamaulipas,Reynosa,"PETROMAX, S.A. DE C.V.",483
18571,PL/4830/EXP/ES/2015,Avenida Vicente Lombardo Toledano No. 906,México,Toluca,Inmobiliaria San Pedro Totoltepec S.A. de C.V.,4830
18574,PL/4831/EXP/ES/2015,Avenida Vicente Lombardo Toledano No. 548,México,Toluca,Inmobiliaria Geovillas S.A. de C.V.,4831
18576,PL/4832/EXP/ES/2015,Pino Suarez 5120,Tamaulipas,Nuevo Laredo,"CARBURANTES FRONTERIZOS, S.A. DE C.V.",4832
18578,PL/4833/EXP/ES/2015,Avenida Vicente Lombardo Toledano No. 245,México,Toluca,"Inmobiliaria la Crespa, S.A. de c.v.",4833
18580,PL/4834/EXP/ES/2015,Km 125+700 Carretera Fed.Los Reyes-México-Zacatepec-Pu,Tlaxcala,Xaloztoc,Servicio Autovia SA de CV,4834
18583,PL/4835/EXP/ES/2015,Ruiz Cortinez No. 3012,Tamaulipas,Nuevo Laredo,"CARBURANTES DEL NORESTE, S.A. DE C.V. ",4835
18585,PL/4836/EXP/ES/2015,Carretera Federalt. No. 23 Zacatecas-Guadalajara Km 138+586,Zacatecas,Tlaltenango de Sánchez Román,SERVICIO SANTA ANITA SA DE CV,4836
18588,PL/4837/EXP/ES/2015,Avenida Solidaridad No 100,Nuevo León,Anáhuac,SUPER COMERCIAL AZTECA S. DE R.L. DE C.V.,4837
18590,PL/4838/EXP/ES/2015,Avenida Álvaro Obregón No. 2438,Tamaulipas,Nuevo Laredo,"CARBURANTES, S.A. DE C.V. ",4838
18592,PL/4839/EXP/ES/2015,Boulevard Emilio Polak Km 127+550,Tlaxcala,Xaloztoc,Servicio La Parada SA de CV,4839
18595,PL/484/EXP/ES/2015,Calzada San Mateo No. 42,México,Atizapán de Zaragoza,"PETROMAX, S.A. DE C.V.",484
18597,PL/4840/EXP/ES/2015,Camino a Coyotepec Parcela 677 S/N,México,Teoloyucan,"Servicio El Encino, S.A. de C.V.",4840
18600,PL/4841/EXP/ES/2015,Carretera Aeropuerto - Piedras Negras 1450,Tamaulipas,Nuevo Laredo,"SUPER SERVICIO BOMBEROS, S.A. DE C.V. ",4841
18603,PL/4842/EXP/ES/2015,Ignacio Allende 1015 Esquina Lic. Primo de Verdad,Baja California Sur,La Paz,SERVICIO ATI SA DE CV,4842
18605,PL/4843/EXP/ES/2015,Km 135+024 L/D Tramo Apizaco-Huamantla,Tlaxcala,Huamantla,Servicio La Parada SA de CV,4843
18608,PL/4844/EXP/ES/2015,Libramiento Sur Poniente No 850,Querétaro,Querétaro,ESTACION SUR PONIENTE SA DE CV,4844
18611,PL/4845/EXP/ES/2015,Carretera Amomolulco-Ocoyoacac Km 3,México,Ocoyoacac,SOCORRO NOGUERON GARCIA,4845
18614,PL/4846/EXP/ES/2015,Revolución No. 112,Colima,Colima,SERVICIO COMERCIAL DEL CENTRO S.A. DE C.V.,4846
18617,PL/4847/EXP/ES/2015,Mineros No. 102,Sinaloa,Rosario,PETROPLAZAS S.A. DE C.V.,4847
18620,PL/4848/EXP/ES/2015,Avenida José María Morelos No. 142,Sonora,Villa Hidalgo,JOSE IGNACIO LORETO DURAZO,4848
18622,PL/4849/EXP/ES/2015,Calle 21 No. 41,Yucatán,Tixkokob,GASOLINERA PASOS SA DE CV ,4849
18625,PL/485/EXP/ES/2015,Boulevard Isidoro López Zertuche No. 5950,Coahuila de Zaragoza,Saltillo,"PETROMAX, S.A. DE C.V.",485
18628,PL/4850/EXP/ES/2015,Avenida Anastacio Brizuela 515,Colima,Colima,SERVICIOS PEREYRA S.A. DE C.V.,4850
18631,PL/4851/EXP/ES/2015,Avenida Azalea No. 4901,Sinaloa,Mazatlán,PETROPLAZAS S.A. DE C.V.,4851
18633,PL/4852/EXP/ES/2015,Avenida Benito Juárez S/N,Nuevo León,Guadalupe,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",4852
