,Numero,Direccion,EntidadFederativaId,MunicipioId,Nombre,Apoyo 2
0,PL/1000/EXP/ES/2015,Calle Norte 180 No. 574,Ciudad de México,Venustiano Carranza,"Estación de Servicio Nuevo Milenio, S.A. de C.V.",1000
3,PL/10000/EXP/ES/2015,Boulevard Aeropuerto No. 312,Guanajuato,León,SERVICIO DELTA SA DE CV,10000
6,PL/10001/EXP/ES/2015,Boulevard Juan Alonso de Torres No. 421,Guanajuato,León,SERVICIO  LAS TORRES NORTE SA DE CV,10001
8,PL/10002/EXP/ES/2015,Calzada de Las Torres Lt.S 13 Y 9,Veracruz de Ignacio de la Llave,Medellín de Bravo,"OPERADORA HB, S.A. DE C.V.",10002
11,PL/10003/EXP/ES/2015,Km 1 + 400 Lado Izaquierdo Tramo Ramal-Anton Lizardo,Veracruz de Ignacio de la Llave,Alvarado,"OPERADORA HB, S.A. DE C.V.",10003
14,PL/10004/EXP/ES/2015,Juárez No. 101,Guanajuato,León,OPERADORA JOSFA SA DE CV,10004
16,PL/10005/EXP/ES/2015,5 de Mayo No. 172,Veracruz de Ignacio de la Llave,Jalacingo,GASOIL TECNOLOGIAS SAPI DE CV,10005
19,PL/10006/EXP/ES/2015,Avenida Rafael Cuervo 1450 Esquina Costa de Marfil,Veracruz de Ignacio de la Llave,Veracruz,GASOIL TECNOLOGIAS SAPI DE CV,10006
22,PL/10007/EXP/ES/2015,Prolongación de La Calle 5 Norte No. 616,Veracruz de Ignacio de la Llave,Fortín,ICVER SA DE CV,10007
25,PL/10008/EXP/ES/2015,Boulevard Díaz Ordaz No. 182,Chiapas,Tapachula,"HIDROSINA PLUS, S.A.P.I. DE C.V.",10008
27,PL/10009/EXP/ES/2015,Crucero Cuatro Caminos S/N. Carretera Lisa Atentique,Jalisco,Tuxpan,"GRUPO OCTANO, S.A. DE C.V.",10009
30,PL/1001/EXP/ES/2015,Boulevard Insurgentes S/N,México,Ecatepec de Morelos,"Estación de Servicio Andalucía, S.A. de C.V.",1001
33,PL/10010/EXP/ES/2015,Km 12 Carretera Atenquique Tamazula,Jalisco,Tuxpan,"GRUPO OCTANO, S.A. DE C.V.",10010
36,PL/10011/EXP/ES/2015,Avenida Francisco I. Madero Con Poniente 5 S/N,Tamaulipas,Río Bravo,"ESTACIONES GARE, SA DE CV",10011
37,PL/10012/EXP/ES/2015,Prolongación Juárez S/N,Guanajuato,Jaral del Progreso,MARTHA PATRICIA VARGAS VEGA,10012
40,PL/10014/EXP/ES/2015,Carretera Federal 307 Km 250 Mz. 27 Lt. 14,Quintana Roo,Tulum,"HOYO TRES, S.A. DE C.V.",10014
43,PL/10015/EXP/ES/2015,Oriente 5 No. 101 Esquina Eje Norte-Sur,Guanajuato,Celaya,servicios diversos del centro SA de CV,10015
46,PL/10017/EXP/ES/2015,Carretera Huimanguillo Raudales Km 25.5,Tabasco,Huimanguillo,"SERVICIO PEDREGAL DEL GOLFO, S.A. DE C.V.",10017
49,PL/10018/EXP/ES/2015,Carretera Fed. Teziutlán-Zaragoza Km 3,Puebla,Chignautla,"Super Servicio Chignautla, S.A. de C.V.",10018
52,PL/10019/EXP/ES/2015,Francisco I. Madero Poniente No. 9570,Michoacán de Ocampo,Morelia,"SERVICIO STA EUGENIA, S.A. DE C.V.",10019
55,PL/1002/EXP/ES/2015,Avenida Tláhuac No. 5243,Ciudad de México,Tláhuac,"Servicio Cipreses, S.A. de C.V.",1002
58,PL/10020/EXP/ES/2015,Carretera Monterrey - Nuevo Laredo No. 8455,Tamaulipas,Nuevo Laredo,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",10020
61,PL/10021/EXP/ES/2015,Boulevard Miguel de La Madrid No. 3900,Nuevo León,Guadalupe,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",10021
64,PL/10022/EXP/ES/2015,Carretera Federal Chilpancingo-Tlapa Km 55,Guerrero,Chilapa de Álvarez,SERVICIO MONTAÑAS DEL SUR S.A DE C.V. ,10022
67,PL/10023/EXP/ES/2015,Carretera Chilapa-Acatlán Km 1,Guerrero,Chilapa de Álvarez,SERVICIO MONTAÑAS DEL SUR S.A DE C.V. ,10023
69,PL/10024/EXP/ES/2015,Carretera Nacional Acapulco - Pinotepa Nacional Km 28.6,Guerrero,Acapulco de Juárez,SERVICIO MONTAÑAS DEL SUR S.A DE C.V. ,10024
72,PL/10025/EXP/ES/2015,Avenida México-Puebla No. 1710,Puebla,Cuautlancingo,SINERGIA DE ENERGETICOS S.A. DE C.V. ,10025
75,PL/10026/EXP/ES/2015,Carretera Al Ledon Km 32,Baja California,Mexicali,"ESTACION DE SERVICIOS EL CAPITAN, SA DE CV ",10026
76,PL/10027/EXP/ES/2015,Calle Granada Y Avenida Sevilla N0. 2269,Baja California,Mexicali,"ESTACIONES MEXSON, S.A. DE C.V.",10027
78,PL/10028/EXP/ES/2015,Avenida Miguel Aleman No. 970,Veracruz de Ignacio de la Llave,Ignacio de la Llave,"ESTACIÓN DE SERVICIOS LA MIXTEQUILLA, S.A. DE C.V.",10028
81,PL/10029/EXP/ES/2015,Autopista Piramides-Tulancingo Norte No. 261,Hidalgo,Singuilucan,JORGE GUTIERREZ JIMENEZ,10029
84,PL/1003/EXP/ES/2015,Libramiento Corretero Arandas - Manuel Doblado Km 3,Jalisco,Arandas,"GASOLINERA GUADALAJARA, S.A. DE C.V.",1003
87,PL/10030/EXP/ES/2015,Autopista México-Acapulco Km 85.5,Morelos,Cuernavaca,SERVICIOS GASOLINEROS SAN CARLOS SA DE CV,10030
90,PL/10031/EXP/ES/2015,Ildefonso Fuentes No. 100,Coahuila de Zaragoza,Monclova,AUTO GAS DE MONCLOVA SA DE CV,10031
92,PL/10032/EXP/ES/2015,Carretera Federal Tlapa-Tecomatlán Km 38,Guerrero,Huamuxtitlán,DANAE ALCESTES LAVINIA CORDOVA MORAN,10032
95,PL/10033/EXP/ES/2015,Carretera 82 Y Brecha 122,Tamaulipas,Valle Hermoso,SALVADOR TANOS KURI,10033
98,PL/10034/EXP/ES/2015,Calzada Lázaro Cárdenas No. 1738,Baja California,Mexicali,"ESTACION DE SERVICIOS EL CAPITAN, SA DE CV ",10034
100,PL/10035/EXP/ES/2015,Avenida Sonora Y Calle Gral Anaya,Sonora,Santa Ana,MIGUEL ANGEL TERAN PARRA,10035
103,PL/10036/EXP/ES/2015,Calle 22 No. 381,Yucatán,Conkal,Servicio San Jose Kuche SA de CV,10036
106,PL/10037/EXP/ES/2015,Molinero No. 101,Nuevo León,Santiago,GAS NUEVO MILENIO S.A. DE C.V.,10037
108,PL/10038/EXP/ES/2015,Avenida Norberto López Avelar No. 12,Morelos,Tetela del Volcán,"MAYRA Y GISSEL, S.A. DE C.V.",10038
111,PL/10039/EXP/ES/2015,Carretera Tuxpan-Tampico Km 142+269.5,Veracruz de Ignacio de la Llave,Ozuluama de Mascareñas,EDARSI S.A. de C.V.,10039
114,PL/1004/EXP/ES/2015,Avenida Ruíz Cortinez Esquina 1ro. de Mayo S/N,México,Ecatepec de Morelos,"Servicio los Andes, S.A. de C.V.",1004
117,PL/10040/EXP/ES/2015,16 de Septiembre E Ignacio Zaragoza Lt.1,Veracruz de Ignacio de la Llave,Chinameca,JOSE BENJAMIN FRAGOSO LUNA,10040
120,PL/10041/EXP/ES/2015,La Vaqueria No. 3,Veracruz de Ignacio de la Llave,Teocelo,NANCY MARTINEZ GONZALEZ,10041
123,PL/10042/EXP/ES/2015,Km 10 Carretera San Martin-El Verde,Puebla,San Salvador el Verde,SERVICIO SAN SALVADOR SA DE CV,10042
125,PL/10043/EXP/ES/2015,Carretera Cordoba-Cardel Tramo Fortin-Conejos Km 19+787,Veracruz de Ignacio de la Llave,Coscomatepec,"SESGAS, S.A. DE C.V. ",10043
128,PL/10045/EXP/ES/2015,Km 2 Carretera a Yuriria Cerano,Guanajuato,Yuriria,SERVICIO CERANO SA DE CV,10045
131,PL/10046/EXP/ES/2015,Calle Hidalgo 86,Durango,Topia,SERVICIO TOPIA SA DE CV,10046
133,PL/10047/EXP/ES/2015,Avenida Emiliano Zapata No. 121,Morelos,Jiutepec,"SERVICIO PAR VIAL, S.A. DE C.V.",10047
136,PL/10048/EXP/ES/2015,Calle 60 No. 338 J X 58 a Y 27,Yucatán,Mérida,SERVICIO GLORIETA SAN FERNANDO S.A. DE C.V.,10048
138,PL/10049/EXP/ES/2015,Boulevard Cuautla V. de Ayala S/N,Morelos,Ayala,"HORIZONTE ENERGETICO, S.A. DE C.V.",10049
141,PL/1005/EXP/ES/2015,Anenecuilco No. 202,Guanajuato,Celaya,SERVICIO IRRIGACION SA DE CV,1005
143,PL/10050/EXP/ES/2015,Avenida America No. 1194,Guanajuato,Moroleón,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",10050
146,PL/10051/EXP/ES/2015,Avenida Lomas del Valle 430 Local 1-7,Nuevo León,San Pedro Garza García,SERVI BENZIN SA DE CV,10051
149,PL/10052/EXP/ES/2015,Eugenio Aguirre Benavides S/N,Tamaulipas,Nuevo Laredo,ES SAN GABRIEL S.A. DE C.V.,10052
152,PL/10053/EXP/ES/2015,Nuevo México S/N,México,Tecámac,"OPERADORA DE COMBUSTIBLE XOLOX, S.A DE C.V.",10053
155,PL/10054/EXP/ES/2015,Galeana No. 32,México,Villa Guerrero,"""SERVICIO GUIPOLLALI SA DE CV""",10054
157,PL/10055/EXP/ES/2015,Prolongación Constitución S/N,Zacatecas,Juan Aldama,"GRUPO ALDAMA, S.A. DE C.V.",10055
160,PL/10056/EXP/ES/2015,Calle Altamirano No. 108,Zacatecas,Juan Aldama,CARLOS MORALES PEREZ,10056
163,PL/10057/EXP/ES/2015,Libramiento 330 Sur Entre Nicolas Bravo Y Leona Vicario,Durango,Cuencamé,CARLOS MORALES PEREZ,10057
166,PL/10058/EXP/ES/2015,Avenida Nezahualcoyotl No. 157,Colima,Armería,KEYAPAAL SA DE CV,10058
169,PL/10059/EXP/ES/2015,Boulevard Oscar Flores Norte No. 514,Chihuahua,Delicias,SERVICIO SYC SA DE CV,10059
172,PL/1006/EXP/ES/2015,Avenida 16 de Septiembre No. 60,México,Naucalpan de Juárez,"Grupo Macruz, S.A. de C.V.",1006
175,PL/10060/EXP/ES/2015,Carretera Transpeninsula Km 36+400 San José del Cabo,Baja California Sur,Los Cabos,"PETROLEOS Y COMBUSTIBLES DEL CABO, SA. DE CV.",10060
178,PL/10061/EXP/ES/2015,Km 4.5 Carretera Santa Rosa-La Barca No. 1515,Jalisco,Ixtlahuacán de los Membrillos,SERVIECOLOGICOS SA DE CV,10061
181,PL/10062/EXP/ES/2015,Prolongación Calle Zaragoza S/N.,Baja California Sur,Los Cabos,"PETROLEOS Y COMBUSTIBLES DEL CABO, SA. DE CV.",10062
184,PL/10063/EXP/ES/2015,Carretera a San Felipe No. 199,Baja California,Mexicali,"ESTACION LA VICTORIA, S.A. DE C.V.",10063
187,PL/10064/EXP/ES/2015,Carretera Jilotzingo Tizayuca Km 1,México,Hueypoxtla,ESTACION DE SERVICIO JILOTZINGO S.A. DE C.V.,10064
190,PL/10065/EXP/ES/2015,Carretera Federal Jorobas Tula Km 10,Hidalgo,Atotonilco de Tula,QUMAR GASOLINERA S.A. DE C.V.,10065
193,PL/10066/EXP/ES/2015,Calle Segunda Benito Juárez No. 199,Baja California,Tijuana,SERVICIO YAGUES S DE RL ,10066
195,PL/10067/EXP/ES/2015,Zaragoza Esquina Pedro Mendez S/N,Tabasco,Cunduacán,"YUYO COMERCIAL, S.A. DE C.V.",10067
197,PL/10068/EXP/ES/2015,Calle 5 de Mayo No. 204 Norte,Zacatecas,Chalchihuites,MANUEL FRANCISCO TORRES NAVARRO,10068
199,PL/10069/EXP/ES/2015,Circuito Juan Pablo Ii No. 1717,Puebla,Puebla,"ESTACIÓN HUEXOTITLA, S. DE R.L. DE C.V.",10069
201,PL/1007/EXP/ES/2015,Avenida Gobernador Ing. Alberto Cárdenas Jiménez No. 692,Jalisco,Zapotlán el Grande,"COMBU-EXPRESS, S.A. DE C.V.",1007
204,PL/10070/EXP/ES/2015,Avenida 18 de Noviembre No. 2246,Puebla,Puebla,"GASOLNAT, S.A. DE C.V.",10070
207,PL/10071/EXP/ES/2015,Autopista México-Puebla Km 102 Margen Derecho,Puebla,Huejotzingo,"SERVICIO LAS CUPULAS, S.A. DE C.V.",10071
210,PL/10072/EXP/ES/2015,53 Sur No. 902,Puebla,Puebla,"RZ CAPITAL, S.A. DE C.V.",10072
213,PL/10073/EXP/ES/2015,Autopista México-Puebla Km 100+ 400,Puebla,Huejotzingo,"PUEBLA AVANZA, S. DE R.L. DE C.V.",10073
216,PL/10074/EXP/ES/2015,Boulevard Carlos Salinas de Gortari No. 652,Nuevo León,Apodaca,"Mas Gas de Apodaca, S.A. de C.V.",10074
219,PL/10075/EXP/ES/2015,Carretera Chinameca-Tepalcingo No. 15,Morelos,Ayala,JOSE LUIS SANCHEZ RODRIGUEZ,10075
222,PL/10076/EXP/ES/2015,Prolongación Reforma No. 4105,Puebla,Puebla,El nuevo servicio prolongación reforma S.A. de C.V,10076
225,PL/10077/EXP/ES/2015,Calle Vicente Guerrero No. 419 Norte,México,Metepec,OPERADORA INTERGASOLINERAS SA DE CV,10077
228,PL/10078/EXP/ES/2015,Avenida 5 de Mayo No. 34,México,Teoloyucan,OPERADORA INTERGASOLINERAS SA DE CV,10078
231,PL/10079/EXP/ES/2015,Boulevard Lázaro Cárdenas No. 1702,Baja California,Mexicali,HERSAN CORPORATIVO SA DE CV,10079
233,PL/1008/EXP/ES/2015,Calzada Madero Y Carranza No. 504,Jalisco,Zapotlán el Grande,"COMBU-EXPRESS, S.A. DE C.V.",1008
236,PL/10080/EXP/ES/2015,Avenida de Las Partidas No. 72,México,Lerma,OPERADORA INTERGASOLINERAS SA DE CV,10080
239,PL/10081/EXP/ES/2015,Libramiento Sur No. 6,Jalisco,Tepatitlán de Morelos,RAMON HERNANDEZ ANGEL,10081
242,PL/10082/EXP/ES/2015,Rio Mocorino Esquina Ignacio López Rayon No. 1701,Baja California,Mexicali,HERSAN CORPORATIVO SA DE CV,10082
244,PL/10083/EXP/ES/2015,Calzada Hector Teran Teran No. 1598,Baja California,Mexicali,HERSAN CORPORATIVO SA DE CV,10083
246,PL/10084/EXP/ES/2015,Avenida Durango S/N Esquina Veracruz,Ciudad de México,Cuauhtémoc,NACIONAL DE COMBUSTIBLES Y LUBRICANTES S.A. DE C.V,10084
248,PL/10085/EXP/ES/2015,Franco Gaona No. 315,Michoacán de Ocampo,Tarímbaro,SERVICIO SAN PEDRO DE LOS SAUCES S.A. DE C.V.,10085
251,PL/10086/EXP/ES/2015,Calzada Anahuac No. 1400,Baja California,Mexicali,"AUTO SERVICIO CASA MAGNA, S.A. DE C.V.",10086
253,PL/10087/EXP/ES/2015,Ricardo Flores Magon No. 226,Ciudad de México,Cuauhtémoc,NACIONAL DE COMBUSTIBLES Y LUBRICANTES S.A. DE C.V,10087
254,PL/10088/EXP/ES/2015,Carretera Estatal Mexicali - Algodones No. 500,Baja California,Mexicali,"AUTO SERVICIO CASA MAGNA, S.A. DE C.V.",10088
257,PL/10089/EXP/ES/2015,Carretera Santa Ana Maya - Puerto de Cabras Nº 2544 Km 2.500,Michoacán de Ocampo,Santa Ana Maya,RAMIRO JIMENEZ CASTRO,10089
259,PL/1009/EXP/ES/2015,Libramiento Carretero Sur Poniente No. 143,Jalisco,Zapotlán el Grande,"COMBU-EXPRESS, S.A. DE C.V.",1009
262,PL/10090/EXP/ES/2015,Carretera Estación Bamoa Km 4+500,Sinaloa,Guasave,FRANCISCO CARRANZA FAMANIA,10090
265,PL/10091/EXP/ES/2015,López Mateos No. 1200,Jalisco,Tlajomulco de Zúñiga,ESTACION DE SERVICIO PYOTR SA DE CV,10091
268,PL/10093/EXP/ES/2015,Carrt Fed México-Veracruz Via Jalapa Km 17+900,Puebla,General Felipe Ángeles,"GAS COMPANY, S.A DE C.V.",10093
271,PL/10094/EXP/ES/2015,Carretera Fed. México-Veracruz Km 17+600,Puebla,General Felipe Ángeles,"GAS COMPANY, S.A DE C.V.",10094
274,PL/10095/EXP/ES/2015,Carretera a Monterrey Km 207,Tamaulipas,Reynosa,SUPER SERVICIO RIO BRAVO SA DE CV,10095
276,PL/10096/EXP/ES/2015,Boulevard Francisco Labastida Ochoa 463,Sinaloa,Salvador Alvarado,SERVICIOS MERARID S.A DE C.V.,10096
279,PL/10097/EXP/ES/2015,Km 44.5 Carretera Acatlán de Juárez-Cd. Guzman,Jalisco,Techaluta de Montenegro,SERVICIO TECHALUTA SA DE CV,10097
282,PL/10098/EXP/ES/2015,Ludwin Van Beethoven No. 5503,Jalisco,Zapopan,ESTACION DE SERVICIO GALERIAS SA DE CV,10098
284,PL/10099/EXP/ES/2015,Plan de San Luis Y Carretera S/N,Chihuahua,Meoqui,GRUPO GASDE SA DE CV,10099
287,PL/1010/EXP/ES/2015,Mariano Escobedo No. 142,Jalisco,Zapotiltic,"COMBU-EXPRESS, S.A. DE C.V.",1010
289,PL/10100/EXP/ES/2015,Avenida Aviación No. 3700,Jalisco,Zapopan,OPERADORA AVIACION SA DE CV,10100
291,PL/10101/EXP/ES/2015,Avenida Insurgentes No. 1254 A,Nayarit,Tepic,RIGUERO MACIAS Y SOCIOS SA DE CV,10101
293,PL/10103/EXP/ES/2015,López Mateos Sur 6998,Jalisco,Tlajomulco de Zúñiga,CENTRAL SAN AGUSTIN SA DE CV,10103
296,PL/10104/EXP/ES/2015,Camino Real a Colima No. 100,Jalisco,San Pedro Tlaquepaque,ESTACION DE SERVICIO OMEGA SA DE CV,10104
298,PL/10105/EXP/ES/2015,Carretera Tepic-Aguamilpa No. 1140,Nayarit,Tepic,LA CANTERA GASO SA DE CV,10105
301,PL/10106/EXP/ES/2015,Pintores 793,Jalisco,Zapopan,ESTACION GUADALUPE SA DE CV,10106
303,PL/10107/EXP/ES/2015,Avenida Arroyo de Los Estados No. 100,Jalisco,Tala,ESTACION DE SERVICIOS TALA SA DE CV,10107
305,PL/10108/EXP/ES/2015,Avenida Concepción No. 79,Jalisco,Tlajomulco de Zúñiga,COMBUSTIBLE TLAJOMULCO SA DE C V,10108
307,PL/10109/EXP/ES/2015,Derecho de La Via del F.F.C.C. Esquinaavenida García M.,Sonora,Caborca,CARLOS ARMANDO VALENCIA MONREAL,10109
310,PL/1011/EXP/ES/2015,Boulevard Libramiento La Joya No. 209,Hidalgo,Tulancingo de Bravo,SERVICIO LIBRAMIENTO LA JOYA S.A. DE C.V.,1011
313,PL/10110/EXP/ES/2015,Avenida Ejercito Nacional No. 7840,Chihuahua,Juárez,GASOLINAS Y LUBRICANTES ALSEGA SA DE CV,10110
315,PL/10111/EXP/ES/2015,Calles M. Lerdo de Tejada No. 960,Coahuila de Zaragoza,Saltillo,SUPER SERVICIO FATIMA S.A. DE C.V.,10111
317,PL/10112/EXP/ES/2015,Avenida Zamna Mz. 30lt. 4,Quintana Roo,Tulum,Servicios Ecológicos del Mayab S. de R.L. de C.V.,10112
320,PL/10113/EXP/ES/2015,Calle Villahermosa S/N Esquina Avenida Independencia,Baja California,Mexicali,"BELLAS ARTES GASOLINERA, SA DE CV",10113
322,PL/10114/EXP/ES/2015,Carretera 30 No. 303,Coahuila de Zaragoza,Frontera,JOSE ALBERTO ASIS CALDERON,10114
324,PL/10115/EXP/ES/2015,Via José López Portillo No. 154,México,Coacalco de Berriozábal,LA PROVIDENCIA COMB. LUBRICANTES Y SERVICIOS SA CV,10115
326,PL/10116/EXP/ES/2015,Carretera Chapala-Mezcala Km 8.71,Jalisco,Poncitlán,Auxiliadora de Combustibles SA de CV,10116
329,PL/10117/EXP/ES/2015,Carretera Chapala - Guadalajara No. Exterior 1000,Jalisco,Chapala,Auxiliadora de Combustibles SA de CV,10117
332,PL/10119/EXP/ES/2015,Carretera Manuel Soto La Marina Km 80,Tamaulipas,Aldama,SERVICIO SOMBRERITO SA DE CV,10119
334,PL/1012/EXP/ES/2015,Avenida Yucatán No. 155,Ciudad de México,Cuauhtémoc,"ESTACION DE SERVICIO ESTADIO, S.A. DE C.V. (E0057)",1012
336,PL/10120/EXP/ES/2015,Avenida Álvaro Obregón No. 805,Sonora,Nogales,NOGALES ENERGETICOS S.A. DE C.V.,10120
338,PL/10121/EXP/ES/2015,Avenida Tecnologico No. 446,Sonora,Nogales,NOGALES ENERGETICOS S.A. DE C.V.,10121
340,PL/10122/EXP/ES/2015,Calle Allende No. 390,Baja California,Tijuana,"CORPORATIVO EMPRENDEDOR DEL NOROESTE, S.A. DE C.V.",10122
342,PL/10123/EXP/ES/2015,Via Rapida Oriente No. 13540,Baja California,Tijuana,"CORPORATIVO EMPRENDEDOR DEL NOROESTE, S.A. DE C.V.",10123
344,PL/10124/EXP/ES/2015,Calle Principal No. 24913,Baja California,Tijuana,"CORPORATIVO EMPRENDEDOR DEL NOROESTE, S.A. DE C.V.",10124
346,PL/10125/EXP/ES/2015,Padre Hidalgo No. 8902,Baja California,Tijuana,"CORPORATIVO EMPRENDEDOR DEL NOROESTE, S.A. DE C.V.",10125
348,PL/10126/EXP/ES/2015,Km 6 Carretera Moralito-Cotaxtla,Veracruz de Ignacio de la Llave,Cotaxtla,FRANCISCO RAFAEL ZORRILLA ALANIS,10126
350,PL/10127/EXP/ES/2015,Francisco Silva Romero No. 709,Jalisco,Guadalajara,Gasovaz SA de CV,10127
353,PL/10128/EXP/ES/2015,Periférico Manuel Gomez Morin No. 5751,Jalisco,Zapopan,Petrovaz SA de CV,10128
356,PL/10129/EXP/ES/2015,Avenida Vallarta S/N Casi Esquina Con Periférico,Jalisco,Zapopan,Petrovaz SA de CV,10129
358,PL/1013/EXP/ES/2015,Avenida Ejercito Mexicano No. 93,Hidalgo,Tizayuca,Servicios Energeticos de Tizayuca SA de CV,1013
361,PL/10130/EXP/ES/2015,Carretera Mérida - Valladolid Km 9.50 Tablaje Catastral No. 16264,Yucatán,Kanasín,Juan Antonio Castro Romero,10130
364,PL/10131/EXP/ES/2015,Carretera Reynosa - Monterrrey Km 197.5,Tamaulipas,Reynosa,GRUPO GASOLINERO CARAVI SA DE CV,10131
367,PL/10133/EXP/ES/2015,Carretera Mocorito-Guamuchil Km 1,Sinaloa,Mocorito,GRUPO GASOLINERO CARAVI SA DE CV,10133
370,PL/10135/EXP/ES/2015,Boulevard Javier Rojo Gomez No. 125,Hidalgo,Pachuca de Soto,HIDROCARBUROS HIDALGO SA DE CV,10135
372,PL/10136/EXP/ES/2015,Avenida Lázaro Cárdenas No. 275,Michoacán de Ocampo,Tzintzuntzan,"MULTISERVICIOS TAMEHI, S.A. DE C.V.",10136
375,PL/10137/EXP/ES/2015,Calle Pino Suarez No. 587,Jalisco,Zapopan,"Gasolina y Diesel de Occidente, S.A. de C. V.",10137
377,PL/10138/EXP/ES/2015,Avenida Aquiles Serdan S/N,Veracruz de Ignacio de la Llave,Tierra Blanca,UNIGAS DEL PAPALOAPAN SA DE CV,10138
380,PL/10139/EXP/ES/2015,Pedregozo No. 16,Zacatecas,Villa González Ortega,MIGUEL CASTAÑEDA ESPARZA,10139
382,PL/1014/EXP/ES/2015,Boulevard Gustavo Díaz Ordaz No. 2840,Guanajuato,Irapuato,"COMBU-EXPRESS, S.A. DE C.V.",1014
385,PL/10140/EXP/ES/2015,Avenida Pedro Parra Centeno No. 112,Jalisco,Tlajomulco de Zúñiga,"Gasolina y Diesel de Occidente, S.A. de C. V.",10140
388,PL/10141/EXP/ES/2015,Carretera Federal El Oro-Maravatio Km 41,Michoacán de Ocampo,Tlalpujahua,ANA MARIA VALENZUELA MERCADO,10141
391,PL/10142/EXP/ES/2015,Carretera México-Texcoco Km 36.5,México,Texcoco,JOSE LUIS CANTELI FUENTE,10142
394,PL/10143/EXP/ES/2015,Calzada Lázaro Cárdenas 1021,Michoacán de Ocampo,Salvador Escalante,GABRIELA ANDREA FARFAN VELAZQUEZ,10143
397,PL/10144/EXP/ES/2015,Carretera Patzcuaro-Uruapan Km 21.5,Michoacán de Ocampo,Pátzcuaro,MARIA SOCORRO ORTEGA HERNANDEZ,10144
400,PL/10145/EXP/ES/2015,Carretera México-Pachuca Km 79+370,Hidalgo,Pachuca de Soto,MARIBEL AVILA CANO,10145
402,PL/10146/EXP/ES/2015,Carretera Cancun-Playa del Carmen Km -327 + 800 (Autopista Puerto Morelos Smzna 52mzna 08 L-01),Quintana Roo,Benito Juárez,FOMENTO EMPRESARIAL DEL CARIBE S.A. DE C.V.,10146
405,PL/10147/EXP/ES/2015,Carretera Huixtla-Motozintla Km 26 S/N,Chiapas,Motozintla,Gasolinera la Piedra S.A. de C.V.,10147
408,PL/10148/EXP/ES/2015,Calle Sin Nombre No. 190,Chiapas,Motozintla,Gasolinera la Piedra S.A. de C.V.,10148
411,PL/10149/EXP/ES/2015,Avenida Tecnologico Norte No. 1357,México,Metepec,"BP ESTACIONES Y SERVICIOS ENERGETICOS, S.A. DE C.V.",10149
414,PL/1015/EXP/ES/2015,Paseo Constituyentes No. 1175,Querétaro,Corregidora,Servicios Energeticos de Zumpango SA de CV,1015
417,PL/10150/EXP/ES/2015,Carretera Iguala-Cd. Altamirano Km 145 Margen Derecho,Guerrero,Arcelia,HUMBERTO FLORES JIMENEZ,10150
420,PL/10152/EXP/ES/2015,Berriozabal No. 22,Guerrero,Arcelia,HUMBERTO FLORES JIMENEZ,10152
422,PL/10153/EXP/ES/2015,Calle 20 de Noviembre Local No. 70,Chiapas,Motozintla,Gasolinera Niquivil S.A. de C.V.,10153
424,PL/10154/EXP/ES/2015,Km 129 Autopista Zona del Silencio G.Palt. Limite Durango - Chihuahua,Durango,Mapimí,POMPA BOYLAN ASOCIADOS S.A. DE C.V. ,10154
428,PL/10155/EXP/ES/2015,Calzada Manuel Gomez Morin No. 2198,Baja California,Mexicali,CARLOS ENRIQUE GARIBALDI MUNGUIA,10155
431,PL/10156/EXP/ES/2015,Carretera Ures-Hermosillo Km 3.5,Sonora,Hermosillo,FEDERICO LOPEZ LOPEZ,10156
434,PL/10157/EXP/ES/2015,Calle Emiliano Zapata No. 184,Jalisco,Cihuatlán,SUPER SERVICIO CIBRIAN SA DE CV,10157
437,PL/10159/EXP/ES/2015,Donizetti No. 315 Y Calzada de Los Misterios,Ciudad de México,Gustavo A. Madero,NACIONAL DE COMBUSTIBLES Y LUBRICANTES S.A. DE C.V,10159
439,PL/1016/EXP/ES/2015,Boulevard Domingo Arrieta No. 3003,Durango,Durango,DGOGAS SA DE CV ,1016
442,PL/10160/EXP/ES/2015,Rio Lerma No. 71 Esquina Rio Rhin,Ciudad de México,Cuauhtémoc,NACIONAL DE COMBUSTIBLES Y LUBRICANTES S.A. DE C.V,10160
444,PL/10161/EXP/ES/2015,Calle Sanchez Loyo S/N Esquina Avenida Perez Bonilla,Veracruz de Ignacio de la Llave,Paso del Macho,SERVICO PASO DEL MACHO S.A DE C.V,10161
447,PL/10162/EXP/ES/2015,Boulevard Francisco Medina Ascencio No. 2001,Jalisco,Arandas,SERVICIO HIPERGAS SA DE CV,10162
450,PL/10163/EXP/ES/2015,Avenida Ejercito Nacional No. 1,Veracruz de Ignacio de la Llave,Atoyac,SUPER GAS DE POTRERO S.A DE C. V,10163
453,PL/10164/EXP/ES/2015,Avenida 5 de Febrero No. 418,Querétaro,Querétaro,"OPERADORA RIVERA SACRA, S.A. de C.V.",10164
456,PL/10165/EXP/ES/2015,Carretera Tlajomulco - San Miguel No. 1500,Jalisco,Tlajomulco de Zúñiga,GASERVICIOS SAN DIEGO SA DE CV,10165
459,PL/10166/EXP/ES/2015,Carretera Est.Interserrana Zacatlán-Cumbre Km 71+500,Puebla,Huitzilan de Serdán,RICARDO ESQUIVEL CASTAÑEDA,10166
